a,b,c,d,alpha,IS_HEALTHY,BRAF v600,KRAS c122,KRAS c146,KRAS c61,NRAS c61,NRAS ex2
-2343.7617555004736,5001.449082217935,1.740543117934417,-80.71761090246727,0.19857223855460096,0.0,0,0,0,1,0,0
-2800.4883731341592,5197.784972130969,2.157021497232753,-80.77250595888836,0.14112567129792097,0.0,0,0,0,1,0,0
-2154.668498269755,5008.826250308719,1.464768749772624,-80.35222628789684,0.2383780552128956,1.0,0,0,0,1,0,0
-2416.8909502952383,5499.987635092974,1.239459404900023,-80.46379388494954,0.3309049088165993,0.0,0,0,0,1,0,0
-2197.590991296231,5164.828085902034,1.557904123000566,-80.6321161363478,0.21360956898996708,0.0,0,0,0,1,0,0
-3238.5717325963988,5556.20326012269,2.468648193668739,-80.76742643380528,0.11435288475552816,0.0,0,0,0,1,0,0
-2227.3134903073824,4573.440925010984,2.3188627255978576,-81.13266788004873,0.1439576186565151,0.0,0,0,0,1,0,0
-2007.2448671317854,4628.948946323243,1.7067014155281672,-80.8939117081646,0.22500047892879205,0.0,0,0,0,1,0,0
-1856.6000580918853,4657.317253948444,1.6201154235480546,-80.57121950145202,0.2253015180426376,1.0,0,0,0,1,0,0
-1563.8657345493855,4003.092076877381,2.5373605782838933,-80.3626918117511,0.16768077376043689,1.0,0,0,0,1,0,0
-1666.8368575550069,4452.888239143973,1.4204042300689135,-80.61882567942787,0.31289560316796455,0.0,0,0,0,1,0,0
-1786.089412562263,4628.4527984137685,1.309631371674325,-80.64119278931108,0.3464230027431871,0.0,0,0,0,1,0,0
-2101.0104218245688,4446.450162916818,2.4287753131698313,-80.81380277904387,0.15915432605330224,0.0,0,0,0,1,0,0
-1991.5286830698626,4506.334508403141,2.2183313820339774,-80.62811823735132,0.18981351296684443,0.0,0,0,0,1,0,0
-2020.6883953497234,4315.693115482842,2.426247863292998,-80.7026443154579,0.16798104772311517,0.0,0,0,0,1,0,0
-2039.807118237369,4423.518785965477,2.3576010563647682,-80.64844825063724,0.16913685736543174,0.0,0,0,0,1,0,0
-2632.354172873737,4949.552471836831,2.541376028246022,-81.33414566091228,0.12820156350105855,0.0,0,0,0,1,0,0
-2217.3936332754515,4501.503338288802,2.5178261206672143,-81.25761162995411,0.12972212121216128,0.0,0,0,0,1,0,0
-2606.9035286598505,4920.75642276294,2.3877259889176963,-81.29989998659082,0.13096658292717872,0.0,0,0,0,1,0,0
-2205.5420556593635,4488.270363408717,2.3678346108189703,-81.29851133251245,0.13147544556695875,0.0,0,0,0,1,0,0
-2530.2576006301647,4935.9272117750725,2.1961379563028602,-81.24472617742285,0.1544301114438709,0.0,0,0,0,1,0,0
-2328.3690193384605,4683.257162246154,2.394523981057976,-81.21666667848089,0.1312120111292142,0.0,0,0,0,1,0,0
-2590.6883806922833,5019.119665733124,2.2201876895114467,-81.19909584693882,0.1562811237062076,0.0,0,0,0,1,0,0
-2011.5507600371752,4617.2391677924625,1.809948378530832,-81.10401788879902,0.20830240911240372,0.0,0,0,0,1,0,0
-2335.7044518851953,4756.525563474446,2.2861760995325926,-81.19487467869301,0.1496409775307648,0.0,0,0,0,1,0,0
-2390.7657708933248,4870.529943263498,2.250500940009291,-81.21218119357306,0.15952844649724235,0.0,0,0,0,1,0,0
-2472.472778789451,4772.985766520503,2.457174189681244,-81.21811442539448,0.13712488495912026,0.0,0,0,0,1,0,0
-2274.5398930517304,4605.526848517314,2.3611081610615874,-81.17135616382545,0.14444007264707742,0.0,0,0,0,1,0,0
-2535.3443787629917,4969.648900316149,2.2996248833941455,-81.2824558990594,0.14949225325252535,0.0,0,0,0,1,0,0
-2271.6264232642675,4728.54513744412,2.205367560041821,-81.21066768431537,0.1456651515701786,0.0,0,0,0,1,0,0
-2634.08823554241,4933.322588857326,2.442053363405678,-81.23949106673757,0.1345758384961831,0.0,0,0,0,1,0,0
-2199.649513146871,4526.111744645766,2.2398926536590653,-81.16513850758935,0.1578306151999445,0.0,0,0,0,1,0,0
-2644.924281653427,4992.550972742765,2.4064567426349015,-81.2103494699472,0.13891916113269207,0.0,0,0,0,1,0,0
-2336.8824419939183,4917.89619276676,1.9394616386635686,-81.09260827048996,0.18748619903214833,0.0,0,0,0,1,0,0
-2585.2209524277564,5013.577485177041,2.2366498898769414,-81.17728559559411,0.15985837098629135,0.0,0,0,0,1,0,0
-2458.496858594359,4737.193091929529,2.8541196403745954,-80.91359282982185,0.10367099557736549,0.0,0,0,0,1,0,0
-2470.5870923470848,4762.251973617322,2.4993550692263296,-81.09363511210987,0.11712472831228969,0.0,0,0,0,1,0,0
-2405.3212283141334,4676.979076769248,2.5414133548682067,-81.05638108091063,0.1104690543234226,0.0,0,0,0,1,0,0
-2330.289127837955,4626.308967301588,2.5130126727035154,-81.06665042747409,0.11408638570780186,0.0,0,0,0,1,0,0
-2327.0848749654615,4666.136486826035,2.3356953851719933,-80.74119123068445,0.1401454084845314,0.0,0,0,0,1,0,0
-2198.597088326817,4559.683973809484,2.250678252647031,-80.971335433419,0.1563494911184165,0.0,0,0,0,1,0,0
-2488.278364294201,4838.815114568727,2.4848761235488928,-81.08421362915203,0.131094417136633,0.0,0,0,0,1,0,0
-2279.034854057176,4634.953895554906,2.4632286886062538,-81.0311398277509,0.13624931730941311,0.0,0,0,0,1,0,0
-2249.951336603354,4759.782383865725,3.0708256649577033,-79.09130279333694,0.2774323274115898,0.0,0,0,1,0,0,0
-1777.0013933304108,4554.73159175292,2.3287412046277134,-78.90752908005236,0.3828783176514405,1.0,0,0,1,0,0,0
-2157.632225116994,4623.3106791814735,3.031642948033518,-79.0320371000447,0.27861499366773945,0.0,0,0,1,0,0,0
-1688.4673179020267,4765.334938562355,1.9330395628953159,-78.75487266331749,0.45129890008166923,0.0,0,0,1,0,0,0
-1869.0412088401304,5140.800750036304,1.8506983403902852,-78.72974520888127,0.46692528957194673,0.0,0,0,1,0,0,0
-1634.2885719899507,4822.172589691963,1.9195617754764436,-78.61062581942961,0.5016723964560275,0.0,0,0,1,0,0,0
-2630.3092754097015,4893.090150392794,3.3154439735457166,-79.05505001676121,0.2564363461063086,0.0,0,0,1,0,0,0
-1844.1958160550007,4214.48054455059,3.1458463993105514,-79.24130583199435,0.27378123065734944,0.0,0,0,1,0,0,0
-1872.934884847192,4640.3048370321385,2.4046212033117618,-79.04574491202882,0.3638083887152409,0.0,0,0,1,0,0,0
-1603.2439137246952,4687.796651201351,2.0169337084045926,-78.88418290239709,0.4002675482987896,0.0,0,0,1,0,0,0
-1480.8187499080589,4480.919352077639,2.0929894620910123,-78.87034185886964,0.4135766820123232,0.0,0,0,1,0,0,0
-1550.4697010911243,4656.321199803961,1.8536929255852053,-78.87621230212459,0.45077362151776346,0.0,0,0,1,0,0,0
-1376.1360204690234,3859.5183983754146,3.5046924048572925,-78.79454425469355,0.2855996818769212,0.0,0,0,1,0,0,0
-1394.862354400023,3846.294685069563,3.3103398496736856,-78.93135117491946,0.2818469332154722,0.0,0,0,1,0,0,0
-1640.5334549525357,4031.334972970239,3.5500219100413477,-78.91553218592685,0.2901045993537286,0.0,0,0,1,0,0,0
-1432.7428218949447,3943.8170124039466,3.379684001848491,-78.834517268063,0.2966974533527844,0.0,0,0,1,0,0,0
-1996.7641583860682,4314.422131710413,3.824745434884709,-79.06069145592578,0.16183760462933403,1.0,0,0,1,0,0,0
-1531.7520628970606,3801.9223416225454,3.5590353804649286,-79.31968355276099,0.24005152726719306,0.0,0,0,1,0,0,0
-1752.7359962126918,4122.455648855822,3.3407587598292676,-79.25930990636665,0.2512687942760257,0.0,0,0,1,0,0,0
